#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  60  32
# Band-Index    1
   2.27748     -7.654094     -7.654154
   2.23360     -7.617431     -7.617485
   2.18973     -7.514911     -7.514951
   2.14585     -7.364589     -7.364614
   2.10198     -7.182135     -7.182146
   2.05810     -6.977846     -6.977844
   2.01423     -6.758715     -6.758702
   1.97035     -6.530102     -6.530078
   1.92648     -6.296647     -6.296613
   1.88261     -6.062640     -6.062595
   1.83873     -5.832248     -5.832194
   1.79486     -5.609650     -5.609587
   1.75098     -5.399065     -5.398993
   1.70711     -5.204759     -5.204679
   1.66323     -5.031082     -5.030994
   1.61936     -4.881993     -4.881898
   1.57548     -4.761443     -4.761343
   1.53161     -4.672683     -4.672579
   1.48774     -4.618260     -4.618153
   1.44386     -4.599990     -4.599882
   1.44386     -4.599990     -4.599882
   1.36787     -4.585752     -4.585644
   1.29188     -4.543447     -4.543338
   1.21588     -4.473315     -4.473206
   1.13989     -4.376182     -4.376072
   1.06390     -4.253163     -4.253051
   0.98791     -4.105686     -4.105573
   0.91191     -3.935718     -3.935603
   0.83592     -3.758672     -3.758556
   0.75993     -3.560849     -3.561019
   0.68393     -3.857880     -3.858065
   0.60794     -4.130463     -4.130661
   0.53195     -4.153027     -4.152936
   0.45596     -3.621368     -3.621265
   0.37996     -3.130681     -3.130567
   0.30397     -2.696138     -2.696013
   0.22798     -2.333568     -2.333434
   0.15199     -2.058076     -2.057933
   0.07599     -1.885348     -1.885200
   0.00000     -1.833621     -1.833472
 
# Band-Index    7
   0.00000     -1.826352     -1.826202
   0.07599     -1.860670     -1.860522
   0.15199     -1.939957     -1.939810
   0.22798     -2.066037     -2.065893
   0.30397     -2.231083     -2.230942
   0.37996     -2.426221     -2.426085
   0.45596     -2.642037     -2.641905
   0.53195     -2.869796     -2.869668
   0.60794     -3.101596     -3.101471
   0.68393     -3.330618     -3.330497
   0.75993     -3.551291     -3.551173
   0.83592     -3.745708     -3.745591
   0.91191     -3.702752     -3.702981
   0.98791     -3.319786     -3.319992
   1.06390     -2.931100     -2.931279
   1.13989     -2.549737     -2.549885
   1.21588     -2.194989     -2.195102
   1.29188     -1.894829     -1.894907
   1.36787     -1.686829     -1.686879
   1.44386     -1.611106     -1.611145
   1.44386     -1.611106     -1.611145
   1.48774     -1.606376     -1.606415
   1.53161     -1.592341     -1.592379
   1.57548     -1.569058     -1.569093
   1.61936     -1.536720     -1.536751
   1.66323     -1.495590     -1.495616
   1.70711     -1.446002     -1.446022
